Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  1.26     23.18     0.38 72241899     0.00     0.00  GgafCore::GgafActor::canHit()
  1.19     23.54     0.36     9729     0.00     0.00  GgafDx9LibStg::LinearOctreeForActor::executeHitChk(unsigned int)
  1.09     23.86     0.33  7524259     0.00     0.00  GgafDx9Core::GgafDx9CollisionArea::updateAABB()
  0.96     24.16     0.29  9616633     0.00     0.00  GgafDx9LibStg::ColliAAB::rotateRxRzRy(int, int, int)
  0.90     24.43     0.27 24256406     0.00     0.00  GgafCore::GgafLinearOctree::separateEveryThirdBit(unsigned int)
  0.88     24.69     0.27  7851439     0.00     0.00  GgafDx9Core::GgafDx9Util::setWorldMatrix_RxRzRyMv(GgafDx9Core::GgafDx9GeometricActor*, D3DXMATRIX&)
  0.86     24.95     0.26 23000608     0.00     0.00  GgafDx9LibStg::StgUtil::isHit(GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliAAB*, GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliAAB*)
  0.80     25.19     0.24  4042734     0.00     0.00  GgafCore::GgafLinearOctreeElem::addElem(GgafCore::GgafLinearOctreeSpace*)
  0.76     25.42     0.23 11118213     0.00     0.00  GgafDx9LibStg::StgUtil::isHit(GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliAAPrism*, GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliAAB*)
  0.73     25.64     0.22  1056073     0.00     0.00  MyStg2nd::EffectExplosion001::processBehavior()
  0.60     25.82     0.18 17903251     0.00     0.00  GgafCore::GgafActor::isActiveActor()
  0.60     26.00     0.18  4020958     0.00     0.00  GgafDx9LibStg::StgUtil::isHit(GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliAAB*, GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliSphere*)
  0.60     26.18     0.18  1918644     0.00     0.00  MyStg2nd::MyCurveLaserChip001::processBehavior()
  0.60     26.36     0.18   627716     0.00     0.00  GgafDx9Core::GgafDx9MeshSetModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.53     26.52     0.16  1918638     0.00     0.00  GgafDx9LibStg::CurveLaserChip::processSettlementBehavior()
  0.50     26.67     0.15     7407     0.00     0.00  GgafDx9Core::GgafDx9Universe::draw()
  0.46     26.81     0.14  1918642     0.00     0.00  GgafDx9LibStg::CurveLaserChip::processBehavior()
  0.43     26.94     0.13 17804237     0.00     0.00  GgafDx9LibStg::ScrolledScene::scroll_X(GgafCore::GgafObject*, void*, void*)
  0.43     27.07     0.13        1     0.13     1.09  GgafDx9Core::GgafDx9Util::init()
  0.36     27.18     0.11  4543068     0.00     0.00  GgafDx9Core::GgafDx9DrawableActor::processPreDraw()
  0.36     27.29     0.11  4447619     0.00     0.00  GgafDx9Core::GgafDx9GeometricActor::isOutOfView()
  0.36     27.40     0.11  3055031     0.00     0.00  GgafDx9Core::GgafDx9Universe::setDrawDepthLevel(int, GgafDx9Core::GgafDx9DrawableActor*)
  0.36     27.51     0.11  2321563     0.00     0.00  GgafDx9LibStg::LaserChip::processSettlementBehavior()
  0.36     27.62     0.11    16875     0.00     0.00  GgafCore::GgafGod::be()
  0.28     27.70     0.09   366430     0.00     0.00  GgafDx9LibStg::LaserChip::processDraw()
  0.27     27.79     0.08    49843     0.00     0.00  GgafDx9Core::GgafDx9SpriteSetActor::processDraw()
  0.20     27.84     0.06 36102214     0.00     0.00  GgafDx9Core::GgafDx9Checker::getTargetActor()
  0.20     27.91     0.06  7524264     0.00     0.00  GgafCore::GgafLinearOctree::registElem(GgafCore::GgafLinearOctreeElem*, int, int, int, int, int, int)
  0.20     27.96     0.06  3247204     0.00     0.00  GgafDx9Core::GgafDx9SphereRadiusVectors::COMPARE_ABLE_SR_VECTOR::set(unsigned int, unsigned int, unsigned int)
  0.20     28.02     0.06   316045     0.00     0.00  GgafDx9LibStg::StraightLaserChip::processBehavior()
  0.20     28.09     0.06     7403     0.00     0.00  GgafDx9Core::GgafDx9God::presentUniversalVisualize()
  0.18     28.14     0.06 18550361     0.00     0.00  GgafCore::GgafActor::getPlatformScene()
  0.18     28.20     0.06  1106337     0.00     0.00  GgafDx9Core::GgafDx9GeometricScaler::behave()
  0.17     28.25     0.05  2017600     0.00     0.00  GgafDx9LibStg::CollisionChecker::disable(int)
  0.17     28.30     0.05   209640     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafScene>::doFinally()
  0.15     28.34     0.04  2739341     0.00     0.00  GgafDx9LibStg::WallActor::processPreDraw()
  0.13     28.38     0.04 17770077     0.00     0.00  GgafCore::GgafScene::isActiveScene()
  0.13     28.42     0.04  8085469     0.00     0.00  GgafCore::GgafLinearOctree::getMortonOrderNumFromXYZindex(unsigned int, unsigned int, unsigned int)
  0.13     28.46     0.04  2321560     0.00     0.00  GgafDx9LibStg::LaserChip::processJudgement()
  0.13     28.50     0.04   211929     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafScene>::nextFrame()
  0.13     28.54     0.04    96699     0.00     0.00  GgafDx9LibStg::WallAAPrismActor::processDraw()
  0.13     28.58     0.04    82903     0.00     0.00  MyStg2nd::MyOption::processBehavior()
  0.13     28.62     0.04    55215     0.00     0.00  GgafDx9Core::GgafDx9StringBoardActor::processDraw()
  0.10     28.65     0.03  7998240     0.00     0.00  GgafCore::GgafMainActor::getGroupActor()
  0.10     28.68     0.03  7013051     0.00     0.00  GgafDx9LibStg::LinearOctreeForActor::CollisionStack::pop()
  0.10     28.71     0.03  3548342     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setVzMvVelo(int)
  0.10     28.74     0.03  3450644     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setMvVelo(int)
  0.10     28.77     0.03  1056071     0.00     0.00  MyStg2nd::EffectExplosion001::processJudgement()
  0.10     28.80     0.03   209642     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafScene>::behave()
  0.10     28.83     0.03    10891     0.00     0.00  MyStg2nd::VamSysCamWorker::processBehavior()
  0.10     28.86     0.03     6734     0.00     0.00  MyStg2nd::MagicMeter::processDraw()
  0.10     28.89     0.03     6366     0.00     0.00  GgafDx9Core::GgafDx9D3DXMeshModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.10     28.92     0.03                             _fu346___ZSt4cout
  0.08     28.95     0.03  5308487     0.00     0.00  GgafDx9LibStg::WallActor::processJudgement()
  0.08     28.97     0.03  2487419     0.00     0.00  GgafCore::GgafActor::setHitAble(bool)
  0.08     29.00     0.03  2405427     0.00     0.00  GgafDx9Core::GgafDx9GeometricActor::isOutOfUniverse()
  0.08     29.02     0.03    94463     0.00     0.00  GgafDx9LibStg::LaserChipDispatcher::employ()
  0.07     29.04     0.02  2228051     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::onChangeToActive()
  0.07     29.06     0.02  2175642     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9Core::GgafDx9GeometricActor>::getCurrent()
  0.07     29.08     0.02  1056463     0.00     0.00  GgafDx9Core::GgafDx9Util::setWorldMatrix_RzBxyzMv(GgafDx9Core::GgafDx9GeometricActor*, D3DXMATRIX&)
  0.07     29.10     0.02   425558     0.00     0.00  GgafCore::GgafGroupActor::processFinal()
  0.07     29.12     0.02   343263     0.00     0.00  int GgafDx9Core::GgafDx9Util::getAngle2D<int>(int, int)
  0.07     29.14     0.02   211924     0.00     0.00  GgafCore::GgafScene::nextFrame()
  0.07     29.16     0.02   204520     0.00     0.00  GgafDx9Core::GgafDx9SeTransmitter::behave()
  0.07     29.18     0.02   183948     0.00     0.00  GgafDx9Core::GgafDx9TextureBlinker::behave()
  0.07     29.20     0.02   115667     0.00     0.00  GgafDx9Core::GgafDx9Scene::processSettlementBehavior()
  0.07     29.22     0.02   108354     0.00     0.00  GgafCore::GgafActorDispatcher::employ()
  0.07     29.24     0.02    84728     0.00     0.00  GgafDx9Core::GgafDx9Util::getRzRyAng(int, int, int, int&, int&)
  0.07     29.26     0.02    18521     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::getFaceAngDistance(int, int, int)
  0.07     29.28     0.02    13471     0.00     0.00  GgafDx9Core::GgafDx9MeshActor::processDraw()
  0.07     29.30     0.02    12024     0.00     0.00  GgafCore::GgafLinearOctree::clearElem()
  0.07     29.32     0.02    11511     0.00     0.00  GgafDx9Core::GgafDx9Input::updateKeyboardState()
  0.07     29.34     0.02    11511     0.00     0.00  MyStg2nd::GameScene::processJudgement()
  0.07     29.36     0.02     7407     0.00     0.00  GgafDx9Core::GgafDx9EffectManager::setParamPerFrameAll()
  0.07     29.38     0.02     7404     0.00     0.00  GgafDx9Core::GgafDx9God::makeUniversalMaterialize()
  0.07     29.40     0.02     6634     0.00     0.00  GgafDx9Core::GgafDx9PointSpriteModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.07     29.42     0.02      381     0.00     0.00  MyStg2nd::EnemyThalia::processBehavior()
  0.07     29.44     0.02        1     0.02     0.02  GgafDx9LibStg::ScrolledScene::ScrolledScene(char const*)
  0.05     29.45     0.01  1486197     0.00     0.00  GgafDx9LibStg::LaserChip::processPreDraw()
  0.05     29.47     0.01   209640     0.00     0.00  GgafCore::GgafScene::behave()
  0.03     29.48     0.01  5900821     0.00     0.00  GgafDx9LibStg::LinearOctreeForActor::CollisionStack::push(GgafCore::GgafActor*)
  0.03     29.49     0.01  5308479     0.00     0.00  GgafDx9LibStg::WallActor::processFinal()
  0.03     29.50     0.01  3548340     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setVyMvVelo(int)
  0.03     29.51     0.01  1918640     0.00     0.00  GgafDx9LibStg::CurveLaserChip::processJudgement()
  0.03     29.52     0.01  1809284     0.00     0.00  MyStg2nd::Wall001Prism::isOutOfUniverse()
  0.03     29.53     0.01  1263115     0.00     0.00  GgafDx9LibStg::StgUtil::isHit(GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliAAPrism*, GgafDx9Core::GgafDx9GeometricActor*, GgafDx9LibStg::ColliSphere*)
  0.03     29.54     0.01   580840     0.00     0.00  GgafCore::GgafResourceConnection<GgafDx9Core::GgafDx9Texture>::refer()
  0.03     29.55     0.01   425559     0.00     0.00  GgafCore::GgafGroupActor::processJudgement()
  0.03     29.56     0.01   396448     0.00     0.00  GgafCore::GgafStatus::set(int, int)
  0.03     29.57     0.01   358037     0.00     0.00  GgafCore::GgafDummyActor::processJudgement()
  0.03     29.58     0.01   236222     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::addFaceAng(int, int)
  0.03     29.59     0.01   225142     0.00     0.00  GgafDx9LibStg::ColliAAB::set(int, int, int, int, int, int, bool, bool, bool)
  0.03     29.60     0.01   209638     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafScene>::judge()
  0.03     29.61     0.01   209637     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafScene>::settleBehavior()
  0.03     29.62     0.01   209632     0.00     0.00  GgafCore::GgafScene::settleBehavior()
  0.03     29.63     0.01   206112     0.00     0.00  GgafCore::GgafStatus::getDouble(int)
  0.03     29.64     0.01   205720     0.00     0.00  MyStg2nd::MyStgUtil::calcMyStatus(GgafCore::GgafStatus*, unsigned int, GgafCore::GgafStatus*, unsigned int)
  0.03     29.65     0.01   182214     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::activateDelay(unsigned int)
  0.03     29.66     0.01   182201     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::activate()
  0.03     29.67     0.01   165807     0.00     0.00  GgafDx9Core::GgafDx9Quaternion::mul(double, double, double, double)
  0.03     29.68     0.01   127690     0.00     0.00  GgafCore::GgafLordActor::processBehavior()
  0.03     29.69     0.01   124597     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafScene>::preDraw()
  0.03     29.70     0.01   124596     0.00     0.00  GgafCore::GgafScene::afterDraw()
  0.03     29.71     0.01   117739     0.00     0.00  GgafDx9LibStg::LaserChipDispatcher::processBehavior()
  0.03     29.72     0.01   108658     0.00     0.00  GgafDx9LibStg::WallAABActor::processDraw()
  0.03     29.73     0.01   107995     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::moveLast()
  0.03     29.74     0.01    91001     0.00     0.00  GgafDx9Core::GgafDx9SphereRadiusVectors::getVectorClosely(int, int, unsigned int&, unsigned int&, unsigned int&)
  0.03     29.75     0.01    86875     0.00     0.00  GgafDx9LibStg::HomingLaserChip::processBehavior()
  0.03     29.76     0.01    82087     0.00     0.00  GgafDx9Core::GgafDx9BoardSetModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.03     29.77     0.01    49843     0.00     0.00  GgafDx9Core::GgafDx9SpriteSetModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.03     29.78     0.01    27298     0.00     0.00  MyStg2nd::MyCurveLaserChip001::onHit(GgafCore::GgafActor*)
  0.03     29.79     0.01    19933     0.00     0.00  GgafDx9Core::GgafDx9MeshModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.03     29.80     0.01    15422     0.00     0.00  GgafDx9LibStg::WalledSectionScene::processFinal()
  0.03     29.81     0.01    15422     0.00     0.00  MyStg2nd::Stage01WalledSection001::processBehavior()
  0.03     29.82     0.01    12024     0.00     0.00  GgafDx9LibStg::DefaultUniverse::processFinal()
  0.03     29.83     0.01    12024     0.00     0.00  MyStg2nd::World::processBehavior()
  0.03     29.84     0.01    12024     0.00     0.00  MyStg2nd::World::processJudgement()
  0.03     29.85     0.01    12022     0.00     0.00  GgafCore::GgafGod::presentUniversalMoment()
  0.03     29.86     0.01    12022     0.00     0.00  MyStg2nd::God::presentUniversalMoment()
  0.03     29.87     0.01    11511     0.00     0.00  GgafDx9LibStg::VirtualButton::update()
  0.03     29.88     0.01    11511     0.00     0.00  MyStg2nd::GameScene::processBehavior()
  0.03     29.89     0.01    11237     0.00     0.00  GgafDx9LibStg::VirtualButton::isDoublePushedDown(unsigned long, unsigned int, unsigned int)
  0.03     29.90     0.01    11237     0.00     0.00  MyStg2nd::MyShipScene::processBehavior()
  0.03     29.91     0.01    11237     0.00     0.00  MyStg2nd::MyOptionController::processBehavior()
  0.03     29.92     0.01    11115     0.00     0.00  MyStg2nd::HoshiBoshi001::processBehavior()
  0.03     29.93     0.01    10933     0.00     0.00  GgafDx9Core::GgafDx9Util::setWorldMatrix_ScMv(GgafDx9Core::GgafDx9GeometricActor*, D3DXMATRIX&)
  0.03     29.94     0.01     9109     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_compare(std::string const&, unsigned int, std::__detail::_Hash_node<std::pair<std::string const, int>, false>*) const
  0.03     29.95     0.01     8779     0.00     0.00  GgafCore::GgafLinkedListRing<GgafDx9LibStg::WalledSectionScene>::getCurrent()
  0.03     29.96     0.01     8778     0.00     0.00  GgafDx9LibStg::WalledScene::processBehavior()
  0.03     29.97     0.01     8778     0.00     0.00  GgafCore::GgafNode<GgafCore::GgafScene>::isLast()
  0.03     29.98     0.01     8247     0.00     0.00  unsigned int std::_Fnv_hash_base<4u>::hash<char>(char const*, unsigned int, unsigned int)
  0.03     29.99     0.01     7407     0.00     0.00  GgafCore::GgafGod::makeUniversalMaterialize()
  0.03     30.00     0.01     6736     0.00     0.00  GgafDx9Core::GgafDx9BoardModel::draw(GgafDx9Core::GgafDx9DrawableActor*, int)
  0.03     30.01     0.01     6634     0.00     0.00  GgafDx9Core::GgafDx9PointSpriteActor::processDraw()
  0.03     30.02     0.01     4582     0.00     0.00  GgafDx9Core::GgafDx9GeometricActor::~GgafDx9GeometricActor()
  0.03     30.03     0.01     4408     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::GgafDx9GeometricMover(GgafDx9Core::GgafDx9GeometricActor*)
  0.03     30.04     0.01     1160     0.00     0.00  GgafDx9LibStg::HomingLaserChip::onInactive()
  0.03     30.05     0.01      351     0.00     0.00  GgafCore::GgafActor::setScenePlatform(GgafCore::GgafScene*)
  0.03     30.06     0.01                             EnterCriticalSection@4
  0.02     30.07     0.01   150095     0.00     0.00  GgafDx9Core::GgafDx9GeometricActor::setCoordinateBy(GgafDx9Core::GgafDx9GeometricActor*)
  0.02     30.07     0.01   117739     0.00     0.00  GgafDx9LibStg::LaserChipDispatcher::processFinal()
  0.02     30.07     0.01   115666     0.00     0.00  GgafCore::GgafCurtain::behave()
  0.02     30.08     0.01   112852     0.00     0.00  GgafCore::GgafActor::sayonara(unsigned int)
  0.02     30.09     0.01    11237     0.00     0.00  MyStg2nd::MyOptionControllerDirectionVector::processBehavior()
  0.02     30.09     0.01     6460     0.00     0.00  GgafDx9Core::GgafDx9SpriteMeshActor::processDraw()
  0.02     30.09     0.01     4553     0.00     0.00  GgafDx9Core::GgafDx9Checker::~GgafDx9Checker()
  0.02     30.10     0.01     4553     0.00     0.00  GgafDx9LibStg::CollisionChecker::~CollisionChecker()
  0.02     30.11     0.01     4471     0.00     0.00  GgafDx9Core::GgafDx9Checker::GgafDx9Checker(GgafDx9Core::GgafDx9GeometricActor*)
  0.02     30.11     0.01       42     0.00     0.00  GgafDx9Core::GgafDx9GeometricScaler::intoTargetScaleLinerUntil(int, unsigned int)
  0.02     30.11     0.01        4     0.00     0.00  GgafCore::GgafCurtain::close()
  0.02     30.12     0.01        1     0.01     0.01  GgafDx9Core::GgafDx9SpriteMeshActor::GgafDx9SpriteMeshActor(char const*, char const*, GgafDx9Core::GgafDx9Checker*)
  0.02     30.12     0.01        1     0.01     0.01  MyStg2nd::MyOptionControllerDirectionVector::onActive()
  0.02     30.13     0.01                             GgafDx9Core::GgafDx9Util::mulWorldMatrix_ScRxRzRyMv(GgafDx9Core::GgafDx9GeometricActor*, D3DXMATRIX&)
  0.02     30.14     0.01                             GgafCore::GgafActor::setHitAbleTree(bool)
  0.02     30.14     0.01                             GgafCore::GgafScene::~GgafScene()
  0.00     30.14     0.00  5308489     0.00     0.00  GgafDx9LibStg::WallActor::processBehavior()
  0.00     30.14     0.00  4924309     0.00     0.00  GgafDx9Core::GgafDx9DrawableActor::processAfterDraw()
  0.00     30.14     0.00  3548590     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setVxMvVelo(int)
  0.00     30.14     0.00  3499203     0.00     0.00  MyStg2nd::Wall001::isOutOfUniverse()
  0.00     30.14     0.00  2321564     0.00     0.00  GgafDx9LibStg::LaserChip::processFinal()
  0.00     30.14     0.00  2321563     0.00     0.00  GgafDx9LibStg::LaserChip::processBehavior()
  0.00     30.14     0.00  1440209     0.00     0.00  GgafCore::GgafProgress::update()
  0.00     30.14     0.00  1090151     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::getActivePartFrame()
  0.00     30.14     0.00  1081090     0.00     0.00  GgafDx9Core::GgafDx9UvFlipper::behave()
  0.00     30.14     0.00  1056465     0.00     0.00  GgafDx9LibStg::DefaultSpriteSetActor::processFinal()
  0.00     30.14     0.00   979789     0.00     0.00  GgafCore::GgafNode<GgafCore::GgafActor>::getSubFirst()
  0.00     30.14     0.00   961420     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::processSettlementBehavior()
  0.00     30.14     0.00   679392     0.00     0.00  GgafCore::GgafUtil::abs(int)
  0.00     30.14     0.00   581015     0.00     0.00  GgafDx9LibStg::VirtualButton::isBeingPressed(unsigned long)
  0.00     30.14     0.00   553820     0.00     0.00  GgafCore::GgafMainActor::getSubFirst()
  0.00     30.14     0.00   497476     0.00     0.00  GgafDx9Core::GgafDx9Util::simplifyAng(int)
  0.00     30.14     0.00   473979     0.00     0.00  GgafCore::GgafMainActor::getKind()
  0.00     30.14     0.00   437568     0.00     0.00  GgafDx9LibStg::LinearOctreeForActor::CollisionStack::clear()
  0.00     30.14     0.00   425555     0.00     0.00  GgafCore::GgafGroupActor::processBehavior()
  0.00     30.14     0.00   406106     0.00     0.00  GgafCore::GgafDummyActor::processFinal()
  0.00     30.14     0.00   380066     0.00     0.00  oggpack_look
  0.00     30.14     0.00   379826     0.00     0.00  GgafCore::GgafStatus::set(int, double)
  0.00     30.14     0.00   379446     0.00     0.00  vorbis_book_encode
  0.00     30.14     0.00   355075     0.00     0.00  D3DXCreateCubeTextureFromFileExA@52
  0.00     30.14     0.00   324634     0.00     0.00  GgafDx9Core::GgafDx9Input::isBeingPressedKey(int)
  0.00     30.14     0.00   316045     0.00     0.00  GgafDx9LibStg::StraightLaserChip::processJudgement()
  0.00     30.14     0.00   309408     0.00     0.00  MyStg2nd::MyStraightLaserChip001::processBehavior()
  0.00     30.14     0.00   301113     0.00     0.00  GgafCore::GgafDummyActor::processPreDraw()
  0.00     30.14     0.00   301112     0.00     0.00  GgafCore::GgafDummyActor::processAfterDraw()
  0.00     30.14     0.00   299675     0.00     0.00  GgafCore::GgafStatus::get(int)
  0.00     30.14     0.00   299593     0.00     0.00  GgafCore::GgafLinearOctreeSpace::GgafLinearOctreeSpace()
  0.00     30.14     0.00   299593     0.00     0.00  GgafCore::GgafLinearOctreeSpace::~GgafLinearOctreeSpace()
  0.00     30.14     0.00   259477     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setFaceAng(int, int)
  0.00     30.14     0.00   248150     0.00     0.00  GgafCore::GgafGroupActor::processAfterDraw()
  0.00     30.14     0.00   248149     0.00     0.00  GgafCore::GgafGroupActor::processPreDraw()
  0.00     30.14     0.00   244212     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setVxMvAcce(int)
  0.00     30.14     0.00   244212     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setVyMvAcce(int)
  0.00     30.14     0.00   244212     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::setVzMvAcce(int)
  0.00     30.14     0.00   240297     0.00     0.00  GgafCore::GgafDummyActor::processBehavior()
  0.00     30.14     0.00   236866     0.00     0.00  GgafDx9LibStg::WallActor::onHit(GgafCore::GgafActor*)
  0.00     30.14     0.00   230573     0.00     0.00  oggpack_adv
  0.00     30.14     0.00   224330     0.00     0.00  GgafDx9LibStg::CollisionChecker::setColliAAB(int, int, int, int, int, int, int, bool, bool, bool)
  0.00     30.14     0.00   223551     0.00     0.00  GgafDx9LibStg::CollisionChecker::setColliAAB(int, int, int, int, int, int, int)
  0.00     30.14     0.00   220510     0.00     0.00  GgafDx9LibStg::CollisionChecker::enable(int)
  0.00     30.14     0.00   209639     0.00     0.00  GgafCore::GgafScene::judge()
  0.00     30.14     0.00   209639     0.00     0.00  GgafCore::GgafScene::doFinally()
  0.00     30.14     0.00   205730     0.00     0.00  GgafCore::GgafStatus::minus(int, int)
  0.00     30.14     0.00   205720     0.00     0.00  MyStg2nd::MyStgUtil::judgeMyDominant(unsigned int, unsigned int)
  0.00     30.14     0.00   205366     0.00     0.00  MyStg2nd::MyTorpedoBlast::onHit(GgafCore::GgafActor*)
  0.00     30.14     0.00   204067     0.00     0.00  GgafCore::GgafNode<GgafCore::GgafActor>::getNext()
  0.00     30.14     0.00   204006     0.00     0.00  GgafDx9Core::GgafDx9DrawableActor::getNext()
  0.00     30.14     0.00   203954     0.00     0.00  GgafCore::GgafProgress::get()
  0.00     30.14     0.00   191251     0.00     0.00  GgafCore::GgafNode<GgafCore::GgafActor>::isLast()
  0.00     30.14     0.00   188501     0.00     0.00  GgafCore::GgafResourceConnection<GgafDx9Core::GgafDx9Model>::refer()
  0.00     30.14     0.00   183954     0.00     0.00  GgafCore::GgafResourceConnection<GgafDx9Core::GgafDx9Model>::getNext()
  0.00     30.14     0.00   146903     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::getBehaveingFrame()
  0.00     30.14     0.00   139046     0.00     0.00  _D3DVECTOR::_D3DVECTOR()
  0.00     30.14     0.00   139015     0.00     0.00  D3DXVECTOR3::D3DXVECTOR3(float, float, float)
  0.00     30.14     0.00   127691     0.00     0.00  GgafCore::GgafLordActor::processJudgement()
  0.00     30.14     0.00   127689     0.00     0.00  GgafCore::GgafLordActor::processFinal()
  0.00     30.14     0.00   127689     0.00     0.00  GgafCore::GgafLordActor::processSettlementBehavior()
  0.00     30.14     0.00   124597     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafScene>::afterDraw()
  0.00     30.14     0.00   124596     0.00     0.00  GgafCore::GgafScene::preDraw()
  0.00     30.14     0.00   121173     0.00     0.00  GgafCore::GgafProgress::wasChangedTo(int)
  0.00     30.14     0.00   120170     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::inactivateDelay(unsigned int)
  0.00     30.14     0.00   115664     0.00     0.00  GgafDx9Core::GgafDx9BgmPerformer::behave()
  0.00     30.14     0.00   114156     0.00     0.00  GgafCore::GgafObject::~GgafObject()
  0.00     30.14     0.00   113742     0.00     0.00  GgafCore::GgafObject::GgafObject()
  0.00     30.14     0.00   109678     0.00     0.00  GgafDx9Core::GgafDx9Input::isBeingPressedJoyRgbButton(int)
